325000	405000	nmhh	H4		Bevezető irányadó (egyirányú (föld-levegő)).	ICAO Európai Léginavigációs Terv X. rész (COM-4 táblázat)	
325000	405000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
325000	405000	nmhh	H5		Orvosi implantátumok (állatba ültethető eszközök) (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 300 330-2	
405000	415000	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
405000	415000	nmhh	H4	K	Útvonali irányadó (NDB) (egyirányú (föld-levegő)).	ICAO Annex 10:I. kötet 3. fejezet 3.4. és 3.9. pont I. kötet C melléklet 6. pont V. kötet 3. fejezet 3.2. pont V. kötet B melléklet	Csatornaosztás: 1 kHz (az európai régióban: 0,5 kHz ishasználható) Frekvenciakijelölés hatósági frekvenciajegyzék szerint.
405000	415000	nmhh	H4		Bevezető irányadó (egyirányú (föld-levegő)).	ICAO Európai Léginavigációs Terv X. rész (COM-4 táblázat)	
405000	415000	nmhh	H2		Induktív alkalmazások (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 9. melléklete MSZ EN 300 330-2	A frekvenciafelhasználási feltételek azonosak a 4. mellékletbenmeghatározottakkal. Egyedi engedélyezési kötelezettség alól mentesítve. Az EU harmonizációs feltételeket a 4. melléklet tartalmazza.
405000	415000	nmhh	H5		Orvosi implantátumok (állatba ültethető eszközök) (SRD).	2006/771/EK; 2011/829/EU ERC/REC 70-03 12. melléklete MSZ EN 300 330-2	
415000	435000	nmhh	LÉGI RÁDIÓNAVIGÁCIÓ				
415000	435000	nmhh	H4	K	Útvonali irányadó (NDB) (egyirányú (föld-levegő)).	A középhullámú tengeri mozgó- és légi rádiónavigáció szolgálat tervezésével megbízott körzeti igazgatási értekezlet (1. Körzet) (Genf, 1985) záróokirataiICAO Annex 10:I. kötet 3. fejezet 3.4. és 3.9. pont I. kötet C melléklet 6. pont V. kötet 3. fejezet 3.2. pont V. kötet B melléklet	Csatornaosztás: 1 kHz (az európai régióban: 0,5 kHz ishasználható) Frekvenciakijelölés hatósági frekvenciajegyzék szerint.
415000	435000	nmhh	H4		Bevezető irányadó (egyirányú (föld-levegő)).	ICAO Európai Léginavigációs Terv X. rész (COM-4 táblázat)	
